elected,expired,dob,pageUrl,education,constituency,name,club,votes,history,party,votes/_source,history-mp,history-senate,recent-mp,recent-senate,total-mp,total-senate
01-10-2014,None,"28-04-1961, Annopol",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=492,wyższe,33 Kielce,Marek Kwitek,Klub Parlamentarny Prawo i Sprawiedliwość,3726,poseł VI kadencji,Prawo i Sprawiedliwość,3726,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
04-02-2015,None,"21-07-1957, Kościerzyna",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=508,wyższe,25 Gdańsk,Jan Kulas,Klub Parlamentarny Platforma Obywatelska,7072,"poseł I kadencji, poseł III kadencji, poseł VI kadencji",Platforma Obywatelska,7072,1:0:1:0:0:1:1,0:0:0:0:0:0:0:1,3,1,5,1
05-06-2014,None,"17-08-1968, Kraków",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=477,wyższe,13 Kraków,Piotr Krzysztof Ćwik,Klub Parlamentarny Prawo i Sprawiedliwość,3502,brak,Prawo i Sprawiedliwość,3502,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
05-06-2014,None,"27-06-1967, Żyrardów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=481,wyższe,16 Płock,Beata Rusinowska,Klub Parlamentarny Platforma Obywatelska,8773,poseł VI kadencji,Platforma Obywatelska,8773,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
05-06-2014,None,"06-05-1968, Radom",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=486,wyższe,17 Radom,Krzysztof Sońta,Klub Parlamentarny Prawo i Sprawiedliwość,9436,poseł VI kadencji,Prawo i Sprawiedliwość,9436,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
05-06-2014,None,"09-09-1938, Warszawa",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=484,wyższe,20 Warszawa,Andrzej Smirnow,Klub Parlamentarny Prawo i Sprawiedliwość,7043,"poseł I kadencji, poseł III kadencji, poseł V kadencji, poseł VI kadencji",Platforma Obywatelska,7043,1:0:1:0:1:1:1,0:0:0:0:0:0:0:1,4,1,6,1
05-06-2014,None,"14-06-1947, Przyszów",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=475,średnie zawodowe,23 Rzeszów,Antoni Błądek,Klub Parlamentarny Prawo i Sprawiedliwość,9631,poseł VI kadencji,Prawo i Sprawiedliwość,9631,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
05-06-2014,None,"21-09-1963, Orla",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=487,wyższe,24 Białystok,Aleksander Sosna,Klub Parlamentarny Platforma Obywatelska,7645,brak,Platforma Obywatelska,7645,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
05-06-2014,None,"15-07-1955, Malbork",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=485,wyższe,25 Gdańsk,Kazimierz Smoliński,Klub Parlamentarny Prawo i Sprawiedliwość,6881,poseł VI kadencji,Prawo i Sprawiedliwość,6881,0:0:0:0:0:1:1,0:0:0:0:0:0:0:1,3,1,3,1
05-06-2014,None,"17-12-1958, Siemianowice Śląskie",http://www.sejm.gov.pl/Sejm7.nsf/posel.xsp?id=483,wyższe,28 Częstochowa,Jerzy Sądel,Klub Parlamentarny Prawo i Sprawiedliwość,3068,brak,Prawo i Sprawiedliwość,3068,0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,2,1,2,1
